text,intent
What should I bring to the match?,ask_info
Your flight Delhi is confirmed for Wankhede Stadium.,not_ask_info
Who manages bookings at hotel 2025-12-01?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
What are the check-in rules at hotel Narendra Modi Stadium?,ask_info
Check-in starts 3 hours before departure.,not_ask_info
The event will be live-streamed online.,not_ask_info
When does the train depart from Food Festival?,ask_info
Dinner is included in your package.,not_ask_info
The coupon 2025-12-01 offers a 20% discount on selected items.,not_ask_info
Where can I access the online event?,ask_info
Your hotel reservation at Meera is confirmed.,not_ask_info
When does the restaurant open for dinner?,ask_info
What meal options are included in my package?,ask_info
Dinner is included in your package.,not_ask_info
When will match tickets be available?,ask_info
Dinner is included in your package.,not_ask_info
Who is eligible for the discount coupon Sports Match?,ask_info
Where can I access the online event?,ask_info
When does the restaurant open for dinner?,ask_info
Your hotel reservation at Sports Match is confirmed.,not_ask_info
What platform will the session be streamed on?,ask_info
Who can help me apply the coupon?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
The event will be live-streamed online.,not_ask_info
A confirmation email has been sent to you.,not_ask_info
When does the train depart from Hilltop Inn?,ask_info
When does the train depart from Art Exhibition?,ask_info
When should I arrive at hotel Lakeview Resort?,ask_info
Your flight 2025-10-05 is confirmed for Alice.,not_ask_info
Who is eligible for the discount coupon 3 PM?,ask_info
What discount does coupon 2025-11-15 offer?,ask_info
Who is eligible for the discount coupon Ocean View Diner?,ask_info
Where is platform 5 located at Delhi station?,ask_info
What platform will the session be streamed on?,ask_info
Who do I contact for room service?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Where is the venue for the seminar?,ask_info
Where is the parking near stadium Art Exhibition?,ask_info
Where can I collect my boarding pass for flight 6 PM?,ask_info
When should I arrive at hotel Delhi?,ask_info
Coupons cannot be combined with other offers.,not_ask_info
Who is eligible for the discount coupon 2025-11-15?,ask_info
When does the restaurant open for dinner?,ask_info
Who is in charge of platform announcements?,ask_info
Your hotel reservation at Art Exhibition is confirmed.,not_ask_info
Where is the parking near stadium SG-452?,ask_info
Where can I redeem coupon SAVE20?,ask_info
Where do I enter the promo code when booking?,ask_info
A reminder will be sent before the event starts.,not_ask_info
Where can I access the online event?,ask_info
A confirmation email has been sent to you.,not_ask_info
Your concert tickets for John are booked.,not_ask_info
Dinner is included in your package.,not_ask_info
Your concert tickets for 6 PM are booked.,not_ask_info
Dinner is included in your package.,not_ask_info
A confirmation email has been sent to you.,not_ask_info
What are the seating arrangements at stadium 2025-11-15?,ask_info
Your concert tickets for FESTIVE50 are booked.,not_ask_info
Where is platform 5 located at Narendra Modi Stadium station?,ask_info
What documents do I need for train travel?,ask_info
Who is the chief guest at the event?,ask_info
Who is in charge of platform announcements?,ask_info
What are the seating arrangements at stadium Ravi?,ask_info
